Rank,ID,Name,DKP,KP,Power,Troop Power,T4 Kills,T5 Kills,Deads
168,209502334,24 X҉WilliamQ8,0,739.63K,45.57M,6.27M,2.76M,307.39K,36.62M
169,209531678,Crisssss,0,96.83K,34.43M,4.96M,3.14M,1.09M,53.36M
170,209607393,柱 VeNdDeTtA,0,1.1M,40.9M,7.61M,8.35M,1.84M,122.67M
171,209619554,ᴹᴰDoC OcK,0,753.21K,40.98M,448.09K,8.23M,1.18M,109.22M
172,209620976,SUPERMANx,0,257.61K,31.96M,6.44M,981.03K,96.91K,13.43M
173,209829051,24 X҉ Hexxy,0,148.05K,25.21M,3.7M,3.89M,455.78K,49.43M
174,209837031,24 X҉  ЫЫЫ,0,159.15K,28.02M,4.81M,1.2M,180.61K,18.49M
175,209905081,24X҉  TolganaC,0,1.14M,40.54M,2.34M,5.23M,270.13K,62.35M
176,209924348,24 X҉ Fuzjaaa,0,762.06K,29.15M,2.94M,1.61M,266.26K,23.95M
177,209926937,우라차차,0,40.42K,29.5M,4.82M,21.17K,44.41K,1.79M
178,210190324,Legend68,0,628.11K,29.94M,11.55K,751.35K,70.82K,10.16M
179,210210393,Zhâk,0,370.45K,29.42M,6.79M,1.71M,95.36K,24.97M
180,210254146,Алекс 2909,0,362.56K,32.95M,5.06M,2.7M,126.58K,32.87M
181,210272139,Inf1n1ty,0,1.25M,30.62M,3.94M,11.6M,1.03M,148.54M
182,210313245,24 X҉ ヅÖrökヅ,0,155.05K,27.38M,1.7M,1.86M,219.89K,24.46M
183,210376950,NightStarr,0,66.75K,26.56M,5.68M,1.08M,73.03K,12.82M
184,210443073,DMAферма,0,8.78K,25.1M,2.46M,172.83K,0,2.15M
185,210876904,Slim 15,0,363.58K,28.91M,6.21M,3.13M,79.83K,34.95M
186,211557716,ᴰᴾCyanide,0,796.79K,25.45M,4.28M,2.95M,300.61K,41.2M
187,212579837,Xàmlông farm,0,14.85K,27.01M,2.63M,201.53K,3.47K,2.43M
