rank,id,name,DKP,KP,Power,Troop Power,T4 Kills,T5 Kills,Deads
124,210372799,24 CHEZCKO,2.55M,21.35M,32.99M,6.10M,1.50M,54.92K,1.49M
125,210517889,babyb0y,2.53M,174.23M,36.09M,6.08M,11.98M,1.68M,2.12M
126,207320759,LAPU  LAPU,2.51M,7.00M,29.41M,2.99M,330.28K,38.70K,2.10M
127,208762017,SP N,2.31M,21.43M,28.66M,6.36M,1.47M,136.32K,1.95M
128,210372642,NTThaSN,2.25M,41.92M,28.87M,6.26M,3.72M,33.04K,2.42M
129,213221751,24 X҉ vSharKs,1.98M,29.12M,32.84M,7.48M,2.80M,22.28K,478.99K
130,210373344,MrGazzz,1.52M,20.76M,26.35M,3.74M,1.33M,110.82K,1.45M
131,209306575,Spartacus6,1.44M,102.82M,37.15M,7.10M,8.45M,775.11K,1.37M
132,208630834,24 X҉  Mommy,1.39M,91.60M,26.30M,3.61M,8.15M,330.50K,2.12M
133,210740345,Basiliscus,1.34M,6.64M,30.68M,7.62M,657.94K,2.15K,30.45K
134,210533310,Vates,1.24M,7.14M,32.43M,7.56M,700.99K,1.26K,66.13K
135,208560935,Milk 1,1.20M,11.59M,29.58M,2.52M,948.28K,27.65K,1.63M
136,210622572,Radamanthys,1.12M,7.16M,30.18M,6.41M,612.06K,34.62K,565.21K
137,210532839,Beelphegor,1.09M,7.30M,33.54M,8.32M,714.15K,3.15K,45.64K
138,212007469,Ulvsbane farm,1.09M,7.10M,28.33M,2.22M,501.77K,55.71K,1.41M
139,211892788,ᶲJW4101 Farma,1.06M,6.12M,25.98M,3.75M,487.74K,26.67K,474.56K
140,210539282,Scriptor,967.80K,6.42M,33.31M,7.85M,636.76K,601,31.49K
141,210013615,ᴹᴰLadyVic,835.08K,46.16M,29.80M,1.50M,2.85M,469.51K,2.48M
142,210082550,KillerBeuty,742.97K,50.83M,26.35M,777.90K,2.76M,587.40K,3.50M
143,209686553,ATN0Ghost,656.66K,18.82M,27.29M,3.42M,986.78K,225.99K,1.65M
144,210225102,humilde manco,634.60K,7.05M,25.01M,6.41M,595.19K,41.60K,72.19K
145,208821197,ᴰᴾJoe Black,492.25K,26.08M,25.87M,1.80M,2.29M,47.08K,2.77M
146,208198410,ᴿᵂintruglio,418.83K,17.40M,29.38M,7.19M,1.59M,43.41K,176.53K
