Metric,Value
TOTAL PLAYERS,289
DKP < 1M,210

Rank,Governor ID,Name,End Power,End Troop Power,T4N,T4 Kills,T5 Kills,Deads,KP,DKP,Active
131,209619554,ᴹᴰDoC OcK,40.98M,448.09K,112.02K,0,0,0,0,0,False
132,209607393,柱 VeNdDeTtA,40.90M,7.61M,1.90M,0,0,0,0,0,False
133,209905081,24X҉  TolganaC,40.54M,2.34M,584.24K,0,0,0,0,0,False
134,210151511,Snoww40,39.47M,5.18M,1.30M,0,0,0,0,0,False
135,209530219,24 X҉ SóiGià,38.37M,4.78M,1.19M,0,0,0,0,0,False
136,209306575,Spartacus6,37.15M,7.10M,1.77M,0,0,0,0,0,False
137,208108254,Alex hub,36.01M,2.13M,531.32K,0,0,0,0,0,False
138,208622212,Ulvsbane,35.35M,2.80M,699.84K,0,0,0,0,0,False
139,210233153,ᴿᶠMixey911,35.06M,6.04M,1.51M,0,0,0,0,0,False
140,207118372,Mamaboy123,34.75M,6.11M,1.53M,0,0,0,0,0,False
141,206949917,marious1990,34.62M,1.53M,383.14K,0,0,0,0,0,False
142,209862206,ᴿᵂMCDragoon,34.54M,8.11M,2.03M,0,0,0,0,0,False
143,209531678,Crisssss,34.43M,4.96M,1.24M,0,0,0,0,0,False
144,210101700,Jinozz,34.30M,6.69M,1.67M,0,0,0,0,0,False
145,210103821,24 X҉  dayday,33.75M,6.60M,1.65M,0,0,0,0,0,False
146,210539282,Scriptor,33.57M,7.87M,1.97M,0,0,0,0,0,False
147,210532839,Beelphegor,33.56M,8.34M,2.09M,0,0,0,0,0,False
148,207014016,24 X҉ Jhoncewi,33.45M,5.16M,1.29M,0,0,0,0,0,False
149,209321704,HOTBEAST,33.42M,6.64M,1.66M,0,0,0,0,0,False
150,209527597,24 X҉ Klee,33.36M,6.55M,1.64M,0,0,0,0,0,False
151,210254146,Алекс 2909,32.95M,5.06M,1.26M,0,0,0,0,0,False
152,208145473,Vicentuss,32.51M,4.46M,1.12M,0,0,0,0,0,False
153,210533310,Vates,32.45M,7.59M,1.90M,0,0,0,0,0,False
154,210213330,Ita city,32.22M,3.57M,893.21K,0,0,0,0,0,False
155,209620976,SUPERMANx,31.96M,6.44M,1.61M,0,0,0,0,0,False
156,208294913,inactiv3,31.60M,278.07K,69.52K,0,0,0,0,0,False
157,210434155,Secte,31.38M,4.03M,1.01M,0,0,0,0,0,False
158,210622572,Radamanthys,31.10M,6.46M,1.61M,0,0,0,0,0,False
159,208158335,24 X҉ HellSing,31.04M,2.41M,601.98K,0,0,0,0,0,False
160,209838834,Teung,31.01M,4.40M,1.10M,0,0,0,0,0,False
161,207742044,xxAgresif,30.81M,4.40M,1.10M,0,0,0,0,0,False
162,210740345,Basiliscus,30.70M,7.64M,1.91M,0,0,0,0,0,False
163,209482763,Éléna,30.63M,1.83M,457.65K,0,0,0,0,0,False
164,210272139,Inf1n1ty,30.62M,3.94M,985.57K,0,0,0,0,0,False
165,206974141,ᴳᴴKaiO,30.53M,4.66M,1.17M,0,0,0,0,0,False
166,210564758,lord ismail,30.29M,5.47M,1.37M,0,0,0,0,0,False
167,208195504,ᴿᵂ Zytue,30.14M,2.72M,680.40K,0,0,0,0,0,False
168,209509609,Ryyysiek,30.13M,4.75M,1.19M,0,0,0,0,0,False
169,210190324,Legend68,29.94M,11.55K,2.89K,0,0,0,0,0,False
170,210013615,ᴹᴰLadyVic,29.81M,1.50M,375.50K,0,0,0,0,0,False
171,208560935,Milk 1,29.69M,2.62M,655.11K,0,0,0,0,0,False
172,209007130,ᴿwmeowington,29.65M,7.44M,1.86M,0,0,0,0,0,False
173,209926937,우라차차,29.50M,4.82M,1.21M,0,0,0,0,0,False
174,207320759,LAPU  LAPU,29.44M,3.02M,753.89K,0,0,0,0,0,False
175,210210393,Zhâk,29.42M,6.79M,1.70M,0,0,0,0,0,False
176,208198410,ᴿᵂintruglio,29.38M,7.19M,1.80M,0,0,0,0,0,False
177,210394486,sencerbatur,29.24M,3.15M,787.60K,0,0,0,0,0,False
178,209924348,24 X҉ Fuzjaaa,29.15M,2.94M,736.01K,0,0,0,0,0,False
179,210876904,Slim 15,28.91M,6.21M,1.55M,0,0,0,0,0,False
180,210372642,NTThaSN,28.87M,6.27M,1.57M,0,0,0,0,0,False
181,209743364,Secteryum,28.74M,3.52M,880.80K,0,0,0,0,0,False
182,210218341,DEMId 01,28.70M,1.66M,415.85K,0,0,0,0,0,False
183,212007469,Ulvsbane farm,28.33M,2.22M,554.84K,0,0,0,0,0,False
184,207786640,AMADIOHA,28.22M,2.10M,523.90K,0,0,0,0,0,False
185,209837031,24 X҉  ЫЫЫ,28.02M,4.81M,1.20M,0,0,0,0,0,False
186,209756294,ᴰᴷREDER2502,27.77M,4.80M,1.20M,0,0,0,0,0,False
187,208850800,24 X҉ 도주이득,27.74M,2.39M,598.41K,0,0,0,0,0,False
188,209686553,ATN0Ghost,27.58M,3.42M,854.97K,0,0,0,0,0,False
189,208313590,Jack メ Mengocok,27.54M,37.31K,9.33K,0,0,0,0,0,False
190,210313245,24 X҉ ヅÖrökヅ,27.38M,1.70M,424.85K,0,0,0,0,0,False
191,212579837,Xàmlông farm,27.01M,2.63M,657.30K,0,0,0,0,0,False
192,209171610,ᵍˢ BÙM,26.96M,977.49K,244.37K,0,0,0,0,0,False
193,210142805,Olly25,26.95M,2.06M,516.22K,0,0,0,0,0,False
194,210376950,NightStarr,26.56M,5.68M,1.42M,0,0,0,0,0,False
195,210082550,KillerBeuty,26.35M,777.90K,194.47K,0,0,0,0,0,False
196,210209380,King Bismarck,26.33M,4.11M,1.03M,0,0,0,0,0,False
197,208630834,24 X҉  Mommy,26.32M,3.63M,907.18K,0,0,0,0,0,False
198,211892788,ᶲJW4101 Farma,26.25M,3.78M,944.60K,0,0,0,0,0,False
199,206917763,solano,26.14M,1.71M,427.60K,0,0,0,0,0,False
200,210531865,Cyntra City,26.05M,2.57M,641.30K,0,0,0,0,0,False
201,208821197,ᴰᴾJoe Black,25.87M,1.80M,450.28K,0,0,0,0,0,False
202,209986084,maiconphieu,25.79M,5.60M,1.40M,0,0,0,0,0,False
203,207108248,HOY PINOY AKOヮ,25.77M,2.05M,511.72K,0,0,0,0,0,False
204,210422456,Mảngo,25.58M,3.19M,797.85K,0,0,0,0,0,False
205,208756315,24 X҉  A Phàm,25.58M,448.61K,112.15K,0,0,0,0,0,False
206,210435381,Supper Saiyan,25.53M,2.83M,706.98K,0,0,0,0,0,False
207,211557716,ᴰᴾCyanide,25.45M,4.28M,1.07M,0,0,0,0,0,False
208,209829051,24 X҉ Hexxy,25.21M,3.70M,924.40K,0,0,0,0,0,False
209,209853474,kurinin23,25.11M,986.00K,246.50K,0,0,0,0,0,False
210,210443073,DMAферма,25.10M,2.46M,614.16K,0,0,0,0,0,False
211,210225102,humilde manco,25.05M,6.45M,1.61M,0,0,0,0,0,False
212,210428942,Solo is Here,24.92M,1.26M,315.53K,0,0,0,0,0,False
213,210387001,Cá161691,24.75M,2.39M,597.69K,0,0,0,0,0,False
214,210834666,harryg91,24.43M,3.69M,922.44K,0,0,0,0,0,False
215,210383699,Le Rose,24.40M,4.97M,1.24M,0,0,0,0,0,False
216,208558087,24 X҉ Alie,24.33M,26.80K,6.70K,0,0,0,0,0,False
217,209861963,ᴿᵂAlex,24.13M,2.73M,682.21K,0,0,0,0,0,False
218,209172663,Bec City,24.12M,3.80M,950.38K,0,0,0,0,0,False
219,208183840,Third Option,24.01M,2.05M,513.43K,0,0,0,0,0,False
220,210006467,sSnoopy,23.89M,1.79M,448.14K,0,0,0,0,0,False
221,210249125,Gopq,23.82M,0,0,0,0,0,0,0,False
222,210913126,ᴿᵂKingOfWar,23.62M,3.25M,813.01K,0,0,0,0,0,False
223,210084771,Bshusttt,23.55M,2.78M,695.44K,0,0,0,0,0,False
224,210330736,Charli300,23.52M,1.09M,271.83K,0,0,0,0,0,False
225,209112837,ᶲAKa Rùa,23.49M,4.83M,1.21M,0,0,0,0,0,False
226,210584534,Lamponi,23.42M,2.77M,691.47K,0,0,0,0,0,False
227,210252173,Eren kaya 06,23.26M,2.19M,548.44K,0,0,0,0,0,False
228,209532060,ᴿᵂSigma,23.21M,32.00K,8.00K,0,0,0,0,0,False
229,210234353,AK Optimuss,23.01M,1.19M,297.38K,0,0,0,0,0,False
230,207540269,Furia Negra,22.95M,3.27M,818.05K,0,0,0,0,0,False
231,210374164,HighLord Grimm,22.85M,4.50M,1.13M,0,0,0,0,0,False
232,210372206,BatesS,22.66M,3.94M,985.30K,0,0,0,0,0,False
233,208164511,ᴿᵂIndigo,22.26M,689.79K,172.45K,0,0,0,0,0,False
234,210400494,Kenzie Jr,21.93M,3.42M,854.94K,0,0,0,0,0,False
235,209899711,Ninnitt,21.88M,2.83M,707.73K,0,0,0,0,0,False
236,210370357,thegoathimself,21.87M,4.28M,1.07M,0,0,0,0,0,False
237,210269601,KLUYUTᶻ,21.67M,3.78M,945.86K,0,0,0,0,0,False
238,210267199,De Noordzijde,21.64M,5.09M,1.27M,0,0,0,0,0,False
239,210140834,dirty game,21.41M,4.58M,1.14M,0,0,0,0,0,False
240,210376408,Le Venin,21.32M,2.07M,517.78K,0,0,0,0,0,False
241,210377454,EeveePrincess5,21.29M,3.56M,890.23K,0,0,0,0,0,False
242,210398747,ÐarkKnight,20.83M,4.00M,999.55K,0,0,0,0,0,False
243,209901762,ᴿᵂEJBau,20.78M,2.41M,602.60K,0,0,0,0,0,False
244,208966369,24 X҉ MONGOLIY,20.77M,1.11M,277.13K,0,0,0,0,0,False
245,210432676,24 X҉  Qhà,20.69M,2.97M,742.46K,0,0,0,0,0,False
246,210378553,DEMETR,20.56M,3.36M,839.08K,0,0,0,0,0,False
247,214011851,ᴰᴷGuerrero,20.34M,2.59M,647.37K,0,0,0,0,0,False
248,202699449,Spartacus Farm1,20.24M,3.53M,882.50K,0,0,0,0,0,False
