#,Governor ID,Governor Name,Camp,KD,Power,Power Diff,KP,T4,T5,Dead,Acclaim,Healed,DKP,Trades,Credit Score,Kill Points,Death Points,Heal Points,Feeding Rate
3243,210229272,Kandamiala,Fire,3924,24920879,0,0,0,0,0,0,0,0,,100,50909,0,245483,
3255,210006467,sSnoopy,Fire,3924,21811361,0,0,0,0,0,0,0,0,,100,0,0,0,
3265,203945925,24 X҉   Bin,Fire,3924,38640984,0,0,0,0,0,0,0,0,,100,0,0,614,
3297,209890750,Elephent,Fire,3924,28724417,0,0,0,0,0,0,0,0,,100,0,0,0,
3300,204717819,RitheR,Fire,3924,55071657,0,0,0,0,0,0,0,0,,100,21626054,16,19265203,
3301,207540269,Furia Negra,Fire,3924,20752568,0,0,0,0,0,0,0,0,,100,0,0,0,
3306,208559123,Stflrs Mom,Fire,3924,56711206,0,0,0,0,0,0,0,0,,100,2353599,0,1985874,
3310,207702281,24 X҉   Leoシ,Fire,3924,46101228,0,0,0,0,0,0,0,0,,100,6160373,90401,1895469,
3313,210432369,Lệnh Hồ 55,Fire,3924,26020508,0,0,0,0,0,0,0,0,,100,0,0,0,
3319,218982356,Lamnesik,Fire,3924,29456842,0,0,0,0,0,0,0,0,,100,514738,14954,1355922,
3336,210249125,Gopq,Fire,3924,30203570,0,0,0,0,0,0,0,0,,100,0,0,0,
