Rank,ID,Name,DKP,KP,Power,Troop Power,T4N,T4 Kills,T5 Kills,Deads
112,208195504,ᴿᵂ Zytue,0,0,30.14M,2.72M,680.4K,0,0,0
113,208198410,ᴿᵂintruglio,0,0,29.38M,7.19M,1.8M,0,0,0
114,208294913,inactiv3,0,0,31.6M,278.07K,69.52K,0,0,0
115,208313590,Jack メ Mengocok,0,0,27.54M,37.31K,9.33K,0,0,0
116,208560935,Milk 1,0,0,29.69M,2.62M,655.11K,0,0,0
117,208622212,Ulvsbane,0,0,35.35M,2.8M,699.84K,0,0,0
118,208630834,24 X҉  Mommy,0,0,26.32M,3.63M,907.18K,0,0,0
119,208756315,24 X҉  A Phàm,0,0,25.58M,448.61K,112.15K,0,0,0
120,208821197,ᴰᴾJoe Black,0,0,25.87M,1.8M,450.28K,0,0,0
121,208850800,24 X҉ 도주이득,0,0,27.74M,2.39M,598.41K,0,0,0
122,209007130,ᴿwmeowington,0,0,29.65M,7.44M,1.86M,0,0,0
123,209171610,ᵍˢ BÙM,0,0,26.96M,977.49K,244.37K,0,0,0
124,209294221,24X҉AlphaWolf,0,0,49.75M,2.47M,,0,0,0
125,209306575,Spartacus6,0,0,37.15M,7.1M,1.77M,0,0,0
126,209321704,HOTBEAST,0,0,33.42M,6.64M,1.66M,0,0,0
127,209482763,Éléna,0,0,30.63M,1.83M,457.65K,0,0,0
128,209502334,24 X҉WilliamQ8,0,0,45.57M,6.27M,,0,0,0
129,209506286,ˣˣ AMSTER,0,0,43.36M,2.18M,546.03K,0,0,0
130,209509609,Ryyysiek,0,0,30.13M,4.75M,1.19M,0,0,0
131,209527597,24 X҉ Klee,0,0,33.36M,6.55M,1.64M,0,0,0
132,209530219,24 X҉ SóiGià,0,0,38.37M,4.78M,1.19M,0,0,0
133,209531678,Crisssss,0,0,34.43M,4.96M,1.24M,0,0,0
134,209607393,柱 VeNdDeTtA,0,0,40.9M,7.61M,1.9M,0,0,0
135,209619554,ᴹᴰDoC OcK,0,0,40.98M,448.09K,112.02K,0,0,0
136,209620976,SUPERMANx,0,0,31.96M,6.44M,1.61M,0,0,0
137,209686553,ATN0Ghost,0,0,27.58M,3.42M,854.97K,0,0,0
138,209743364,Secteryum,0,0,28.74M,3.52M,880.8K,0,0,0
139,209756294,ᴰᴷREDER2502,0,0,27.77M,4.8M,1.2M,0,0,0
140,209829051,24 X҉ Hexxy,0,0,25.21M,3.7M,924.4K,0,0,0
141,209837031,24 X҉  ЫЫЫ,0,0,28.02M,4.81M,1.2M,0,0,0
142,209838834,Teung,0,0,31.01M,4.4M,1.1M,0,0,0
143,209853474,kurinin23,0,0,25.11M,986K,246.5K,0,0,0
144,209862206,ᴿᵂMCDragoon,0,0,34.54M,8.11M,2.03M,0,0,0
145,209875567,ᴬᵈDMAч1т,0,0,56.78M,10.43M,,0,0,0
146,209880966,24 X Blaze,0,0,51.87M,8.73M,,0,0,0
147,209905081,24X҉  TolganaC,0,0,40.54M,2.34M,584.24K,0,0,0
148,209924348,24 X҉ Fuzjaaa,0,0,29.15M,2.94M,736.01K,0,0,0
149,209926937,우라차차,0,0,29.5M,4.82M,1.21M,0,0,0
150,209927994,24 X҉  Visna,0,0,41.28M,6.9M,1.72M,0,0,0
151,209986084,maiconphieu,0,0,25.79M,5.6M,1.4M,0,0,0
152,210013615,ᴹᴰLadyVic,0,0,29.81M,1.5M,375.5K,0,0,0
153,210082550,KillerBeuty,0,0,26.35M,777.9K,194.47K,0,0,0
154,210101700,Jinozz,0,0,34.3M,6.69M,1.67M,0,0,0
155,210103821,24 X҉  dayday,0,0,33.75M,6.6M,1.65M,0,0,0
156,210142805,Olly25,0,0,26.95M,2.06M,516.22K,0,0,0
157,210151511,Snoww40,0,0,39.47M,5.18M,1.3M,0,0,0
158,210190324,Legend68,0,0,29.94M,11.55K,2.89K,0,0,0
159,210209380,King Bismarck,0,0,26.33M,4.11M,1.03M,0,0,0
160,210210393,Zhâk,0,0,29.42M,6.79M,1.7M,0,0,0
161,210213330,Ita city,0,0,32.22M,3.57M,893.21K,0,0,0
162,210218341,DEMId 01,0,0,28.7M,1.66M,415.85K,0,0,0
163,210225102,humilde manco,0,0,25.05M,6.45M,1.61M,0,0,0
164,210233153,ᴿᶠMixey911,0,0,35.06M,6.04M,1.51M,0,0,0
165,210254146,Алекс 2909,0,0,32.95M,5.06M,1.26M,0,0,0
166,210272139,Inf1n1ty,0,0,30.62M,3.94M,985.57K,0,0,0
167,210313245,24 X҉ ヅÖrökヅ,0,0,27.38M,1.7M,424.85K,0,0,0
168,210372642,NTThaSN,0,0,28.87M,6.27M,1.57M,0,0,0
169,210376950,NightStarr,0,0,26.56M,5.68M,1.42M,0,0,0
170,210394486,sencerbatur,0,0,29.24M,3.15M,787.6K,0,0,0
171,210422456,Mảngo,0,0,25.58M,3.19M,797.85K,0,0,0
172,210434155,Secte,0,0,31.38M,4.03M,1.01M,0,0,0
173,210435381,Supper Saiyan,0,0,25.53M,2.83M,706.98K,0,0,0
174,210443073,DMAферма,0,0,25.1M,2.46M,614.16K,0,0,0
175,210531865,Cyntra City,0,0,26.05M,2.57M,641.3K,0,0,0
176,210532839,Beelphegor,0,0,33.56M,8.34M,2.09M,0,0,0
177,210533310,Vates,0,0,32.45M,7.59M,1.9M,0,0,0
178,210539282,Scriptor,0,0,33.57M,7.87M,1.97M,0,0,0
179,210564758,lord ismail,0,0,30.29M,5.47M,1.37M,0,0,0
180,210622572,Radamanthys,0,0,31.1M,6.46M,1.61M,0,0,0
181,210661343,业๛ BREEZEメ,0,0,42.02M,5.48M,1.37M,0,0,0
182,210740345,Basiliscus,0,0,30.7M,7.64M,1.91M,0,0,0
183,210876904,Slim 15,0,0,28.91M,6.21M,1.55M,0,0,0
184,211557716,ᴰᴾCyanide,0,0,25.45M,4.28M,1.07M,0,0,0
185,211892788,ᶲJW4101 Farma,0,0,26.25M,3.78M,944.6K,0,0,0
186,212007469,Ulvsbane farm,0,0,28.33M,2.22M,554.84K,0,0,0
187,212579837,Xàmlông farm,0,0,27.01M,2.63M,657.3K,0,0,0
