uid,name,pow,dkp,kvk3 kp,total kp,clan name
210375755,warandromedha,23108255,5137995,3439649,7696505.0,AL
210189446,Angry R bear,23095056,548096,1274440,1807384.0,LW
211557716,ᴰᴾCyanide,23093350,0,0,40423549.0,LW
210330736,Charli300,23045558,0,0,6910510.0,ML
208619355,Bart1906,22946506,0,0,,
208226755,ᴿᵂGRAYWOLF,22929728,392482,284178,19161879.0,AL
210399669,bySel,22869442,0,0,,
210922098,Zodiac Army,22862915,29230624,42571689,,
211297033,ᴿᵂ DuongBeu,22843572,795760,1992884,2911241.0,LW
210434561,24 X҉ThuyAn2,22819901,0,0,37983184.0,AL
210944394,xThanhLong,22809101,2926605,8034546,,
210402314,Мех,22761110,2682912,211530,2950760.0,AL
210006467,sSnoopy,22760269,60728,151820,1177299.0,ADRL
210406925,kishmish1,22759704,3824,9560,,
209821264,ᴴᴰMIKOTO,22750284,12728133,8883262,13390640.0,LW
210834790,ˣⁿRealmadrid,22734582,6748929,8595757,19514526.0,SL
210584534,Ryyysiek 2,22718587,0,0,2345532.0,ADRL
210295022,마가우가하후씨,22691700,9527848,1647259,,
210376765,BEYAZID 55,22683673,2349950,3635172,,
210202208,ᵛᶰメAKIRA 1,22671666,120948,302370,,
210396149,MozzA,22609674,0,0,,
210562229,Panda Legion,22607399,680542,2764985,46265000.0,AL
210446135,SCOURGE OF GOD,22603693,16662342,21486830,73792185.0,AL
210403265,SlowZ06guy,22553677,0,0,224750.0,SLF
209852044,ᴿᵂVito,22537409,6040688,6529290,23416750.0,AL
209902500,бронсон,22533202,0,0,,
208720515,ᴿᵂviva5555,22503635,33398,68280,4474710.0,LW
210258071,znic,22465630,0,0,,
207122584,HOY PINOY FARM,22465398,4252194,1577710,10365865.0,LW
209872477,Aryta,22456777,967130,1081884,9191963.0,AL
207860890,ᴿᵂMagicMal,22444232,5126833,2034161,19867517.0,AL
209861963,ᴿᵂAlex,22439541,26765907,48003174,87477872.0,AL
210443073,ᴿᵂDMAᴿᵂ,22364146,0,11522,,
207688109,RWxLoneStar,22353643,0,0,6460655.0,AL
207689266,ᴿᵂManuel,22349861,103904,259760,,
211311750,Sergо,22326843,122960,307402,7063121.0,AL
210435381,Supper Saiyan,22287235,14934777,2993706,6651596.0,ML
210806310,Jaehaerys 1er,22125824,0,0,2159842.0,ADRL
210679087,Mitsumia,22086768,0,0,201920.0,LW
210330344,buonngu,22085729,259764,682002,21582682.0,AL
207688111,Rwjin2,21992797,0,0,,
209916577,24 X҉  Don,21951150,0,0,,
210195820,PoucesNormaux,21861958,2705574,5005185,7668885.0,LW
210373344,Oulboy,21809889,3818422,3314753,18824354.0,AL
208008607,F4rhan Fill,21805127,0,0,,
209794039,ฝันดี,21754460,1466296,3265030,13727153.0,LW
210229272,Kandamiala,21750073,8278136,4515302,6287928.0,LW
210372206,Sela8,21611013,803895,248579,1179621.0,SLF
210039896,Menezobrrr,21596102,3910,8940,100305.0,LW
210370357,thegoathimself,21592156,207864,519660,5942453.0,LW
209842652,Burak3523,21494344,0,0,1217209.0,AL
212333596,ᴹɪɴɪK0uisF,21469283,229140,578503,2124251.0,SL
210402077,24 X҉   NKN,21433590,112556,281390,,
208211218,ᴿᵂ Rooster,21422803,1394926,806050,53589463.0,AL
207579331,24 X҉ SNØŌWミ,21272207,0,0,,
209974432,fire001,21098293,10188,25470,,
210245347,Szoboslai8,21023323,0,0,,
210084771,Bshusttt,20856042,0,0,12020244.0,LW
209882504,Coconut15,20803965,0,0,8841114.0,AL
211294741,Farmheart,20792813,0,0,3643659.0,SLF
210432841,Nunm,20733089,0,0,,
210372545,ᴾᴱStonəy,20674879,0,0,3019149.0,ADRL
209103130,ᶲ DansKingdom,20634238,0,0,,
209696150,zia tok,20571909,0,0,,
209867154,LadyNocturne,20309057,0,0,,
210376802,かかってこい,20231619,0,0,,
208936123,ᶻᵒAdamLeft,20187405,1464335,1548950,,
210432676,24 X҉  Qhà,20181416,0,0,,
210243771,BrunetteValkyri,20151291,0,0,4309955.0,LW
207957194,BankKingdom24,20118913,0,0,46388434.0,SL
205283625,24 X҉  OBITO,20084910,0,0,,
207057491,ˣⁿDrina,20032492,0,0,12056477.0,ADRL
209112837,ᶲAKa Rùa,20016884,0,0,22026421.0,SLF
210377522,I54c,20016283,0,0,,
209880540,24 X҉ GRUbiYan,20012773,0,0,,
209899711,Ninnitt,19934564,0,0,,
210225102,humilde manco,19758296,0,0,5478211.0,LW
210664315,lãotứk,19751902,0,0,3835796.0,ADRL
210383699,Le Rose,19619086,0,0,9752182.0,AL
210888570,Fozzie 3,19574864,0,0,753498.0,ADRL
209709756,aj rimmer,19546980,0,0,3144022.0,LW
209762988,ᴰᵀŞahmar,19502821,0,0,2902396.0,LW
209312381,Yola61,19482468,0,0,1202966.0,SL
210409801,Incomeq,19384927,0,0,4596992.0,LW
209885315,ᴿᵂKapo,19356522,0,0,4027136.0,RW
210164634,mumudomi,19213172,0,0,,
210302210,Papabara,19170229,0,0,,
210267199,De Noordzijde,19100371,0,0,267678.0,LW
