Rank,Kingdom,Group,KvK,KvK Start,KvK End,Power,Power Capped,KP,Dead,CH25
80,1212,A,C13192 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,15069973016,14966574914,7.83613E+11,3847991910,300
81,3793,A,C13199 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,15057310652,15016229004,8.65472E+11,3082324825,300
82,1126,A,,,,15053809544,15053809544,1.68837E+11,2903811306,269
83,3538,A,,,,15033534875,15024338772,2.3283E+11,2637717295,294
84,2027,A,,,,14975686726,14937409509,7.54869E+11,3397740420,300
85,2116,A,,,,14948891905,14933090696,4.56352E+11,3291717180,300
86,1393,A,C13192 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,14929941738,14513212483,1.01899E+12,4443393078,300
87,1082,A,,,,14928630621,14814028737,88586691388,1676546308,210
88,2666,A,,,,14901289331,14825237323,1.33871E+12,4809599304,300
89,2217,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14846659718,14618177814,9.98123E+11,4078111601,287
90,1075,A,C13220 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14828144876,14169844351,96072908685,2058391337,262
91,1343,A,,,,14826239055,14823787530,1.1446E+11,2201195029,277
92,1843,A,,,,14822254830,14822254830,1.42508E+11,2729192446,263
93,1960,A,,,,14758843622,14683488953,7.80847E+11,3630703586,300
94,1877,A,,,,14710789345,14710789345,4.30308E+11,2952668784,300
95,1858,A,C13237 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14689039813,10436691950,5.04408E+11,2093642338,286
96,3869,A,C13206 (Battle),2026-06-11T00:00:00.000Z,2026-08-08T00:00:00.000Z,14665654497,14648538330,4.77306E+11,1499602950,300
97,2218,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14627193748,14489260197,1.42475E+12,4967841976,245
98,2964,A,C13209 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14571829980,14565599812,4.94716E+11,2819478303,300
99,1821,A,C13212 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14563044758,11439234422,4.16575E+11,2116344357,229
100,3698,A,C13236 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14556835354,14556835354,1.83846E+11,2091052394,300
101,1992,A,,,,14511318610,14511318610,1.10385E+11,2745204804,291
102,1854,A,,,,14497099223,14495792043,1.51609E+11,2359146465,298
103,3834,A,,,,14403560705,14403560705,1.92228E+11,1588221415,300
104,3853,A,,,,14391485730,14391485730,1.62994E+11,1157130172,300
105,1261,A,C13202 (Immigration),2026-06-05T00:00:00.000Z,2026-07-27T00:00:00.000Z,14388035194,11299121272,1.34092E+11,2293816829,255
106,2179,A,,,,14337447811,14324988001,4.18027E+11,2433316816,300
107,3731,A,,,,14316714766,14315467553,1.11564E+11,1197205322,300
108,1501,A,,,,14288622643,14203472275,8.7405E+11,3928964298,274
109,3904,A,,,,14204700212,13945188954,2.10331E+11,923396310,294
110,3256,A,,,,14116573115,14102204887,2.67148E+11,2387341258,246
111,3604,A,C13226 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14101391697,13439754505,4.24375E+11,2823471262,284
112,3741,A,C13231 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,14050376858,13925332411,3.43872E+11,2161655727,282
113,2919,A,,,,14000851030,13996755635,2.75061E+11,3069642062,300
114,3848,A,,,,13979146256,13979146256,72853359763,1157180374,300
115,1770,A,C13209 (Battle),2026-07-03T00:00:00.000Z,2026-08-24T00:00:00.000Z,13970622815,13970622815,5.19349E+11,3456548974,300
